ZIP,USPS Default State for ZIP,County,ZIP Code Population
90639,CA,Los Angeles County,1714
90640,CA,Los Angeles County,61615
90650,CA,Los Angeles County,100808
90651,CA,Los Angeles County,
90652,CA,Los Angeles County,
90660,CA,Los Angeles County,60821
90661,CA,Los Angeles County,
90662,CA,Los Angeles County,
90670,CA,Los Angeles County,18255
90671,CA,Los Angeles County,
90680,CA,Orange County,31949
90701,CA,Los Angeles County,16044
90702,CA,Los Angeles County,
90703,CA,Los Angeles County,48607
90703,CA,Orange County,48607
90704,CA,Los Angeles County,3764
90706,CA,Los Angeles County,77396
90707,CA,Los Angeles County,
90710,CA,Los Angeles County,26777
90711,CA,Los Angeles County,
90712,CA,Los Angeles County,30672
90713,CA,Los Angeles County,28583
90714,CA,Los Angeles County,
90715,CA,Los Angeles County,20668
90716,CA,Los Angeles County,13743
90717,CA,Los Angeles County,21319
90720,CA,Orange County,24021
90721,CA,Orange County,
90723,CA,Los Angeles County,52546
90731,CA,Los Angeles County,62452
90732,CA,Los Angeles County,23104
90733,CA,Los Angeles County,
90734,CA,Los Angeles County,
90740,CA,Orange County,24382
90742,CA,Orange County,385
90743,CA,Orange County,478
90744,CA,Los Angeles County,53678
90745,CA,Los Angeles County,57952
90746,CA,Los Angeles County,27465
90747,CA,Los Angeles County,17
90748,CA,Los Angeles County,
90749,CA,Los Angeles County,
90755,CA,Los Angeles County,11654
90801,CA,Los Angeles County,
90802,CA,Los Angeles County,39859
90803,CA,Los Angeles County,31804
90804,CA,Los Angeles County,38306
90805,CA,Los Angeles County,94631
90806,CA,Los Angeles County,39972
90807,CA,Los Angeles County,33320
90808,CA,Los Angeles County,39351
90808,CA,Orange County,39351
90809,CA,Los Angeles County,
90810,CA,Los Angeles County,35648
90813,CA,Los Angeles County,51689
90814,CA,Los Angeles County,20676
90815,CA,Los Angeles County,43461
90815,CA,Orange County,43461
90822,CA,Los Angeles County,93
90831,CA,Los Angeles County,0
90832,CA,Los Angeles County,
90833,CA,Los Angeles County,
90840,CA,Los Angeles County,0
90844,CA,Los Angeles County,
90846,CA,Los Angeles County,
90853,CA,Los Angeles County,
90895,CA,Los Angeles County,
91001,CA,Los Angeles County,36402
91003,CA,Los Angeles County,
91006,CA,Los Angeles County,32106
91007,CA,Los Angeles County,33141
91008,CA,Los Angeles County,754
91009,CA,Los Angeles County,
91010,CA,Los Angeles County,27245
91011,CA,Los Angeles County,20094
91012,CA,Los Angeles County,
91016,CA,Los Angeles County,41710
91017,CA,Los Angeles County,
91020,CA,Los Angeles County,7265
91021,CA,Los Angeles County,
91023,CA,Los Angeles County,
91024,CA,Los Angeles County,11020
91025,CA,Los Angeles County,
91030,CA,Los Angeles County,26297
91031,CA,Los Angeles County,
91040,CA,Los Angeles County,21436
91041,CA,Los Angeles County,
91042,CA,Los Angeles County,27055
91043,CA,Los Angeles County,
91046,CA,Los Angeles County,142
91066,CA,Los Angeles County,
91077,CA,Los Angeles County,
91101,CA,Los Angeles County,20814
91102,CA,Los Angeles County,
91103,CA,Los Angeles County,24910
91104,CA,Los Angeles County,35595
91105,CA,Los Angeles County,12546
91106,CA,Los Angeles County,23217
91107,CA,Los Angeles County,32944
91108,CA,Los Angeles County,12464
91109,CA,Los Angeles County,
91114,CA,Los Angeles County,
91115,CA,Los Angeles County,
91116,CA,Los Angeles County,
91117,CA,Los Angeles County,
91118,CA,Los Angeles County,
91121,CA,Los Angeles County,
91123,CA,Los Angeles County,
91124,CA,Los Angeles County,
91125,CA,Los Angeles County,968
91126,CA,Los Angeles County,
91129,CA,Los Angeles County,
91182,CA,Los Angeles County,
91184,CA,Los Angeles County,
91185,CA,Los Angeles County,
91188,CA,Los Angeles County,
91189,CA,Los Angeles County,
91199,CA,Los Angeles County,
91201,CA,Los Angeles County,22261
91202,CA,Los Angeles County,22258
91203,CA,Los Angeles County,16482
91204,CA,Los Angeles County,18847
91205,CA,Los Angeles County,34890
91206,CA,Los Angeles County,32330
91207,CA,Los Angeles County,10626
91208,CA,Los Angeles County,15467
91209,CA,Los Angeles County,
91210,CA,Los Angeles County,334
91214,CA,Los Angeles County,31707
91221,CA,Los Angeles County,
91222,CA,Los Angeles County,
91224,CA,Los Angeles County,
91225,CA,Los Angeles County,
91226,CA,Los Angeles County,
91301,CA,Los Angeles County,24477
91302,CA,Los Angeles County,26205
91303,CA,Los Angeles County,29522
91304,CA,Los Angeles County,53794
91304,CA,Ventura County,53794
91305,CA,Los Angeles County,
91306,CA,Los Angeles County,48177
91307,CA,Los Angeles County,25823
91307,CA,Ventura County,25823
91308,CA,Los Angeles County,
91309,CA,Los Angeles County,
91310,CA,Los Angeles County,
91311,CA,Los Angeles County,40557
91311,CA,Ventura County,40557
91313,CA,Los Angeles County,
91316,CA,Los Angeles County,29246
91319,CA,Ventura County,
91320,CA,Ventura County,43628
91321,CA,Los Angeles County,32668
91322,CA,Los Angeles County,
91324,CA,Los Angeles County,29510
91325,CA,Los Angeles County,35116
91326,CA,Los Angeles County,37068
91327,CA,Los Angeles County,
91328,CA,Los Angeles County,
91330,CA,Los Angeles County,2591
91331,CA,Los Angeles County,98820
91333,CA,Los Angeles County,
91334,CA,Los Angeles County,
91335,CA,Los Angeles County,74802
91337,CA,Los Angeles County,
91340,CA,Los Angeles County,33750
91341,CA,Los Angeles County,
91342,CA,Los Angeles County,93513
91343,CA,Los Angeles County,61607
91344,CA,Los Angeles County,53248
91345,CA,Los Angeles County,18282
91346,CA,Los Angeles County,
91350,CA,Los Angeles County,43621
91351,CA,Los Angeles County,33553
91352,CA,Los Angeles County,46153
91353,CA,Los Angeles County,
91354,CA,Los Angeles County,33059
91355,CA,Los Angeles County,28777
91356,CA,Los Angeles County,30809
91357,CA,Los Angeles County,
91358,CA,Ventura County,
91359,CA,Ventura County,
91360,CA,Ventura County,42315
91361,CA,Ventura County,18728
91361,CA,Los Angeles County,18728
91362,CA,Ventura County,36205
91362,CA,Los Angeles County,36205
91364,CA,Los Angeles County,28662
91365,CA,Los Angeles County,
91367,CA,Los Angeles County,45427
91371,CA,Los Angeles County,0
91372,CA,Los Angeles County,
91376,CA,Los Angeles County,
91377,CA,Ventura County,13656
91380,CA,Los Angeles County,
91381,CA,Los Angeles County,21857
91382,CA,Los Angeles County,
91383,CA,Los Angeles County,
91384,CA,Los Angeles County,27278
91385,CA,Los Angeles County,
91386,CA,Los Angeles County,
91387,CA,Los Angeles County,46283
91390,CA,Los Angeles County,18722
91392,CA,Los Angeles County,
91393,CA,Los Angeles County,
91394,CA,Los Angeles County,
91395,CA,Los Angeles County,
91396,CA,Los Angeles County,
91401,CA,Los Angeles County,39011
91402,CA,Los Angeles County,66710
91403,CA,Los Angeles County,25566
91404,CA,Los Angeles County,
91405,CA,Los Angeles County,54887
91406,CA,Los Angeles County,52661
91407,CA,Los Angeles County,
91408,CA,Los Angeles County,
91409,CA,Los Angeles County,
91411,CA,Los Angeles County,23520
91412,CA,Los Angeles County,
91413,CA,Los Angeles County,
91416,CA,Los Angeles County,
91423,CA,Los Angeles County,32536
91426,CA,Los Angeles County,
91436,CA,Los Angeles County,16424
91470,CA,Los Angeles County,
91482,CA,Los Angeles County,
91499,CA,Los Angeles County,
91501,CA,Los Angeles County,19343
91502,CA,Los Angeles County,11732
91503,CA,Los Angeles County,
91504,CA,Los Angeles County,27268
91505,CA,Los Angeles County,31843
91506,CA,Los Angeles County,18773
91507,CA,Los Angeles County,
91508,CA,Los Angeles County,
91510,CA,Los Angeles County,
91521,CA,Los Angeles County,
91522,CA,Los Angeles County,
91523,CA,Los Angeles County,
91601,CA,Los Angeles County,37033
91602,CA,Los Angeles County,19760
91603,CA,Los Angeles County,
91604,CA,Los Angeles County,32118
91605,CA,Los Angeles County,52086
91606,CA,Los Angeles County,43202
91607,CA,Los Angeles County,30918
91608,CA,Los Angeles County,38
91609,CA,Los Angeles County,
91610,CA,Los Angeles County,
91614,CA,Los Angeles County,
91615,CA,Los Angeles County,
91617,CA,Los Angeles County,
91701,CA,San Bernardino County,38597
91702,CA,Los Angeles County,61766
91706,CA,Los Angeles County,71620
91708,CA,San Bernardino County,17308
91708,CA,Riverside County,17308
91709,CA,San Bernardino County,78200
91709,CA,Los Angeles County,78200
91710,CA,San Bernardino County,80186
91710,CA,Los Angeles County,80186
91711,CA,Los Angeles County,37538
91714,CA,Los Angeles County,
91715,CA,Los Angeles County,
91716,CA,Los Angeles County,
91722,CA,Los Angeles County,34087
91723,CA,Los Angeles County,18200
91724,CA,Los Angeles County,28113
91729,CA,San Bernardino County,
91730,CA,San Bernardino County,71692
91731,CA,Los Angeles County,28122
91732,CA,Los Angeles County,58056
91733,CA,Los Angeles County,41716
91734,CA,Los Angeles County,
91737,CA,San Bernardino County,22797
91739,CA,San Bernardino County,41722
91740,CA,Los Angeles County,26160
91741,CA,Los Angeles County,26166
91743,CA,San Bernardino County,
91744,CA,Los Angeles County,78253
91745,CA,Los Angeles County,54996
91746,CA,Los Angeles County,28256
91747,CA,Los Angeles County,
91748,CA,Los Angeles County,43137
91750,CA,Los Angeles County,33267
91752,CA,Riverside County,37551
91752,CA,San Bernardino County,37551
91754,CA,Los Angeles County,33176
91755,CA,Los Angeles County,26413
91756,CA,Los Angeles County,
91759,CA,San Bernardino County,290
91761,CA,San Bernardino County,62506
91761,CA,Riverside County,62506
91762,CA,San Bernardino County,63656
91762,CA,Riverside County,63656
91763,CA,San Bernardino County,37515
91764,CA,San Bernardino County,55412
91765,CA,Los Angeles County,44779
91766,CA,Los Angeles County,68673
91766,CA,San Bernardino County,68673
91767,CA,Los Angeles County,50308
91768,CA,Los Angeles County,34921
91769,CA,Los Angeles County,
91770,CA,Los Angeles County,58893
91771,CA,Los Angeles County,
91772,CA,Los Angeles County,
91773,CA,Los Angeles County,33917
91775,CA,Los Angeles County,23776
91776,CA,Los Angeles County,37769
91778,CA,Los Angeles County,
91780,CA,Los Angeles County,35136
91784,CA,San Bernardino County,26900
91785,CA,San Bernardino County,
91786,CA,San Bernardino County,55519
91786,CA,Los Angeles County,55519
91788,CA,Los Angeles County,
91789,CA,Los Angeles County,40933
91790,CA,Los Angeles County,44791
91791,CA,Los Angeles County,33321
91792,CA,Los Angeles County,30921
91793,CA,Los Angeles County,
91801,CA,Los Angeles County,53730
91802,CA,Los Angeles County,
91803,CA,Los Angeles County,27803
91804,CA,Los Angeles County,
91896,CA,Los Angeles County,
91899,CA,Los Angeles County,
91901,CA,San Diego County,18300
91902,CA,San Diego County,17445
91903,CA,San Diego County,
91905,CA,San Diego County,1466
91906,CA,San Diego County,3375
91908,CA,San Diego County,
91910,CA,San Diego County,77957
91911,CA,San Diego County,84619
91912,CA,San Diego County,
91913,CA,San Diego County,57067
91914,CA,San Diego County,17036
91915,CA,San Diego County,35385
91916,CA,San Diego County,1757
91917,CA,San Diego County,889
91921,CA,San Diego County,
91931,CA,San Diego County,735
91932,CA,San Diego County,25897
91933,CA,San Diego County,
91934,CA,San Diego County,1265
91935,CA,San Diego County,9466
91941,CA,San Diego County,33706
91942,CA,San Diego County,40920
91943,CA,San Diego County,
91944,CA,San Diego County,
91945,CA,San Diego County,27531
91946,CA,San Diego County,
91948,CA,San Diego County,123
91950,CA,San Diego County,57173
91951,CA,San Diego County,
91962,CA,San Diego County,2457
91963,CA,San Diego County,617
91976,CA,San Diego County,
91977,CA,San Diego County,62957
91978,CA,San Diego County,10511
91979,CA,San Diego County,
91980,CA,San Diego County,157
92003,CA,San Diego County,4978
92004,CA,San Diego County,3030
92007,CA,San Diego County,11764
92008,CA,San Diego County,27707
92009,CA,San Diego County,45778
92010,CA,San Diego County,17300
92011,CA,San Diego County,23715
92013,CA,San Diego County,
92014,CA,San Diego County,13260
92018,CA,San Diego County,
92019,CA,San Diego County,45801
92020,CA,San Diego County,58490
92021,CA,San Diego County,69306
92022,CA,San Diego County,
92023,CA,San Diego County,
92024,CA,San Diego County,50030
92025,CA,San Diego County,50046
92026,CA,San Diego County,53041
92027,CA,San Diego County,55232
92028,CA,San Diego County,50905
92028,CA,Riverside County,50905
92029,CA,San Diego County,20296
92030,CA,San Diego County,
92033,CA,San Diego County,
92036,CA,San Diego County,3128
92037,CA,San Diego County,39284
92038,CA,San Diego County,
92039,CA,San Diego County,
92040,CA,San Diego County,45978
92046,CA,San Diego County,
92049,CA,San Diego County,
92051,CA,San Diego County,
92052,CA,San Diego County,
92054,CA,San Diego County,37546
92055,CA,San Diego County,11181
92056,CA,San Diego County,53265
92057,CA,San Diego County,57994
92058,CA,San Diego County,49189
92059,CA,San Diego County,1449
92060,CA,San Diego County,591
92061,CA,San Diego County,1693
92064,CA,San Diego County,48555
92065,CA,San Diego County,37397
92066,CA,San Diego County,314
92067,CA,San Diego County,8245
92068,CA,San Diego County,
92069,CA,San Diego County,46825
92070,CA,San Diego County,749
92071,CA,San Diego County,59739
92072,CA,San Diego County,
92074,CA,San Diego County,
92075,CA,San Diego County,11996
92078,CA,San Diego County,53542
92079,CA,San Diego County,
92081,CA,San Diego County,29596
92082,CA,San Diego County,20596
92083,CA,San Diego County,37957
92084,CA,San Diego County,49533
92085,CA,San Diego County,
92086,CA,San Diego County,1410
92088,CA,San Diego County,
92091,CA,San Diego County,1215
92092,CA,San Diego County,985
92093,CA,San Diego County,4090
92096,CA,San Diego County,0
92101,CA,San Diego County,48163
92102,CA,San Diego County,39001
92103,CA,San Diego County,34817
92104,CA,San Diego County,46912
92105,CA,San Diego County,71284
92106,CA,San Diego County,20863
92107,CA,San Diego County,29789
92108,CA,San Diego County,24401
92109,CA,San Diego County,44456
92110,CA,San Diego County,31186
92111,CA,San Diego County,45888
92112,CA,San Diego County,
92113,CA,San Diego County,49047
92114,CA,San Diego County,64820
92115,CA,San Diego County,64011
92116,CA,San Diego County,31484
92117,CA,San Diego County,52645
92118,CA,San Diego County,18495
92119,CA,San Diego County,24868
92120,CA,San Diego County,31797
92121,CA,San Diego County,4157
92122,CA,San Diego County,45437
92123,CA,San Diego County,32999
92124,CA,San Diego County,31032
92126,CA,San Diego County,77239
92127,CA,San Diego County,50711
92128,CA,San Diego County,48492
92129,CA,San Diego County,53080
92130,CA,San Diego County,59768
92131,CA,San Diego County,35831
92132,CA,San Diego County,0
92134,CA,San Diego County,295
92135,CA,San Diego County,1013
92136,CA,San Diego County,8774
92137,CA,San Diego County,
92138,CA,San Diego County,
92139,CA,San Diego County,34780
92140,CA,San Diego County,2490
92142,CA,San Diego County,
92143,CA,San Diego County,
92145,CA,San Diego County,2583
92147,CA,San Diego County,172
92149,CA,San Diego County,
92150,CA,San Diego County,
92152,CA,San Diego County,
92153,CA,San Diego County,
92154,CA,San Diego County,82832
92155,CA,San Diego County,141
92158,CA,San Diego County,
92159,CA,San Diego County,
92160,CA,San Diego County,
92161,CA,San Diego County,24
92163,CA,San Diego County,
92165,CA,San Diego County,
92166,CA,San Diego County,
92167,CA,San Diego County,
92168,CA,San Diego County,
92169,CA,San Diego County,
92170,CA,San Diego County,
92171,CA,San Diego County,
92172,CA,San Diego County,
92173,CA,San Diego County,26507
92174,CA,San Diego County,
92175,CA,San Diego County,
92176,CA,San Diego County,
92177,CA,San Diego County,
92178,CA,San Diego County,
92179,CA,San Diego County,3034
92182,CA,San Diego County,0
92191,CA,San Diego County,
92192,CA,San Diego County,
92193,CA,San Diego County,
92195,CA,San Diego County,
92196,CA,San Diego County,
92197,CA,San Diego County,
92198,CA,San Diego County,
92199,CA,San Diego County,
92201,CA,Riverside County,66364
92202,CA,Riverside County,
92203,CA,Riverside County,33381
92210,CA,Riverside County,4830
92211,CA,Riverside County,27375
92220,CA,Riverside County,33428
92222,CA,Imperial County,0
92223,CA,Riverside County,62797
92223,CA,San Bernardino County,62797
92225,CA,Riverside County,21101
92225,CA,Imperial County,21101
92225,CA,San Bernardino County,21101
92226,CA,Riverside County,
92227,CA,Imperial County,28147
92230,CA,Riverside County,2105
92231,CA,Imperial County,38547
92232,CA,Imperial County,
92233,CA,Imperial County,6837
92234,CA,Riverside County,52047
92235,CA,Riverside County,
92236,CA,Riverside County,42884
92239,CA,Riverside County,167
92240,CA,Riverside County,40918
92241,CA,Riverside County,8624
92242,CA,San Bernardino County,1203
92243,CA,Imperial County,48556
92244,CA,Imperial County,
92247,CA,Riverside County,
92248,CA,Riverside County,
92249,CA,Imperial County,7308
92250,CA,Imperial County,7854
92251,CA,Imperial County,27197
92252,CA,San Bernardino County,7916
92253,CA,Riverside County,38281
92254,CA,Riverside County,10779
92255,CA,Riverside County,
92256,CA,San Bernardino County,3907
92257,CA,Imperial County,2185
92258,CA,Riverside County,508
92259,CA,Imperial County,237
92260,CA,Riverside County,30751
92261,CA,Riverside County,
92262,CA,Riverside County,26064
92263,CA,Riverside County,
92264,CA,Riverside County,20250
92266,CA,Imperial County,152
92267,CA,San Bernardino County,0
92268,CA,San Bernardino County,315
92270,CA,Riverside County,17375
92273,CA,Imperial County,1551
92274,CA,Riverside County,17909
92274,CA,Imperial County,17909
92275,CA,Imperial County,1410
92276,CA,Riverside County,7662
92277,CA,San Bernardino County,27742
92278,CA,San Bernardino County,3839
92280,CA,San Bernardino County,0
92281,CA,Imperial County,1904
92282,CA,Riverside County,1494
92283,CA,Imperial County,1795
92284,CA,San Bernardino County,25782
92285,CA,San Bernardino County,2914
92286,CA,San Bernardino County,
92301,CA,San Bernardino County,38651
92301,CA,Los Angeles County,38651
92304,CA,San Bernardino County,0
92305,CA,San Bernardino County,371
92307,CA,San Bernardino County,40666
92308,CA,San Bernardino County,42402
92309,CA,San Bernardino County,490
92310,CA,San Bernardino County,8791
92311,CA,San Bernardino County,33982
92312,CA,San Bernardino County,
92313,CA,San Bernardino County,13069
92313,CA,Riverside County,13069
92314,CA,San Bernardino County,10410
92315,CA,San Bernardino County,5215
92316,CA,San Bernardino County,31909
92317,CA,San Bernardino County,708
92318,CA,San Bernardino County,
92320,CA,Riverside County,10680
92320,CA,San Bernardino County,10680
92321,CA,San Bernardino County,828
92322,CA,San Bernardino County,605
92323,CA,San Bernardino County,
92324,CA,San Bernardino County,57049
92324,CA,Riverside County,57049
92325,CA,San Bernardino County,9689
92327,CA,San Bernardino County,706
92328,CA,Inyo County,872
92329,CA,San Bernardino County,
92331,CA,San Bernardino County,
92332,CA,San Bernardino County,106
92333,CA,San Bernardino County,403
92334,CA,San Bernardino County,
92335,CA,San Bernardino County,95295
92336,CA,San Bernardino County,103393
92337,CA,San Bernardino County,36944
92338,CA,San Bernardino County,0
92339,CA,San Bernardino County,1277
92340,CA,San Bernardino County,
92341,CA,San Bernardino County,299
92342,CA,San Bernardino County,6677
92344,CA,San Bernardino County,20671
92345,CA,San Bernardino County,87906
92346,CA,San Bernardino County,56956
92347,CA,San Bernardino County,630
92350,CA,San Bernardino County,394
92352,CA,San Bernardino County,6496
92354,CA,San Bernardino County,23076
92356,CA,San Bernardino County,6665
92357,CA,San Bernardino County,
92358,CA,San Bernardino County,712
92359,CA,San Bernardino County,9394
92363,CA,San Bernardino County,5392
92364,CA,San Bernardino County,15
92365,CA,San Bernardino County,2514
92366,CA,San Bernardino County,
92368,CA,San Bernardino County,925
92369,CA,San Bernardino County,3305
92371,CA,San Bernardino County,21678
92372,CA,San Bernardino County,4854
92373,CA,San Bernardino County,34816
92373,CA,Riverside County,34816
92374,CA,San Bernardino County,44287
92375,CA,San Bernardino County,
92376,CA,San Bernardino County,84161
92377,CA,San Bernardino County,21685
92378,CA,San Bernardino County,445
92382,CA,San Bernardino County,5301
92384,CA,Inyo County,18
92385,CA,San Bernardino County,186
92386,CA,San Bernardino County,2037
92389,CA,Inyo County,169
92391,CA,San Bernardino County,2192
92392,CA,San Bernardino County,64352
92393,CA,San Bernardino County,
92394,CA,San Bernardino County,39230
92395,CA,San Bernardino County,49323
92397,CA,San Bernardino County,5699
92397,CA,Los Angeles County,5699
92398,CA,San Bernardino County,1657
92399,CA,San Bernardino County,55029
92399,CA,Riverside County,55029
92401,CA,San Bernardino County,2283
92402,CA,San Bernardino County,
92403,CA,San Bernardino County,
92404,CA,San Bernardino County,63067
92405,CA,San Bernardino County,31207
92406,CA,San Bernardino County,
92407,CA,San Bernardino County,69191
92408,CA,San Bernardino County,13880
92410,CA,San Bernardino County,48286
92411,CA,San Bernardino County,27157
92413,CA,San Bernardino County,
92415,CA,San Bernardino County,0
92418,CA,San Bernardino County,
92423,CA,San Bernardino County,
92427,CA,San Bernardino County,
92501,CA,Riverside County,22079
92502,CA,Riverside County,
92503,CA,Riverside County,88242
92504,CA,Riverside County,57085
92505,CA,Riverside County,53063
92506,CA,Riverside County,44311
92507,CA,Riverside County,61920
92508,CA,Riverside County,36777
92509,CA,Riverside County,80149
92509,CA,San Bernardino County,80149
92513,CA,Riverside County,
92514,CA,Riverside County,
92516,CA,Riverside County,
92517,CA,Riverside County,
92518,CA,Riverside County,1236
92519,CA,Riverside County,
92521,CA,Riverside County,0
92522,CA,Riverside County,
92530,CA,Riverside County,60877
92531,CA,Riverside County,
92532,CA,Riverside County,27268
92536,CA,Riverside County,2749
92536,CA,San Diego County,2749
92539,CA,Riverside County,3480
92543,CA,Riverside County,39878
92544,CA,Riverside County,51694
92545,CA,Riverside County,45771
92546,CA,Riverside County,
92548,CA,Riverside County,6435
92549,CA,Riverside County,3823
92551,CA,Riverside County,36190
92552,CA,Riverside County,
92553,CA,Riverside County,73189
92555,CA,Riverside County,45751
92556,CA,Riverside County,
92557,CA,Riverside County,55749
